trt,rep,yield,not,nol,rsr,ph,wf,lai,fat,cp,ca,ash,aia
T1,1,0.99,3.8,6.6,0.199,2.8,5,1.3,2.85,21.15,3,10.22,1.52
T2,1,1.03,7,8.2,0.199,2.9,5,1.84,4.01,25.57,3.77,11.27,1.49
T3,1,1.52,9,9.4,0.398,3,6,2.18,3.94,25.99,4,12.99,1.03
T4,1,0.87,2.8,3.2,0.081,1.8,6,0.99,2.26,9.47,2.67,8.63,1.86
T5,1,0.97,5.8,7.2,0.229,2.8,6,1.66,3.07,20.05,3.27,11.06,1.55
T6,1,0.76,2.4,3.2,0.113,1.8,6,0.34,2.45,9.9,2.88,10.32,1.65
T1,2,0.96,4.2,6.8,0.195,2.1,7,1.2,2.81,18.67,3.16,10.69,1.52
T2,2,1.01,6.8,8.6,0.201,2.8,6,1.88,3.89,24.93,3.96,11.37,0.58
T3,2,1.61,8.8,9.6,0.288,3.1,7,1.99,4.33,24.05,3.99,12.29,0.79
T4,2,0.93,2.8,3,0.171,2,5,0.91,2.88,9.82,3.29,8.78,1.92
T5,2,0.99,6,7.4,0.255,2.7,6,1.55,3.53,20.63,3.33,11.04,0.79
T6,2,0.82,2.4,3.2,0.171,1.9,6,0.41,2.48,8.487,2.03,10.71,2.02
T1,3,1.01,3.8,6.6,0.211,2.5,6,1.26,3.55,13.75,3.05,10.25,1.02
T2,3,1,7,7.8,0.189,2.9,4,1.82,3.82,21.77,3.83,12.19,1.09
T3,3,1.59,9,9.2,0.229,2.9,8,1.98,3.98,26.45,4.01,12.2,0.67
T4,3,0.81,2.8,3.8,0.121,2.1,7,0.95,2.99,8.41,2.22,11.41,1.55
T5,3,1.02,6,7.6,0.199,2.6,5,1.68,3.87,21.15,3.02,11.55,1.71
T6,3,0.87,2.6,3.4,0.088,1.7,6,0.33,2.15,8.736,2.67,10.87,1.54
T1,4,1.03,4,6.6,0.205,2.6,4,1.35,2.88,15.96,3.17,10.99,1.07
T2,4,1.65,7,8.4,0.185,2.8,5,1.72,3.96,20.98,3.87,12.11,0.53
T3,4,1.65,8.6,9.2,0.209,3.2,6,2.01,3.96,25.66,4.03,12.68,1.02
T4,4,0.96,2.8,3.2,0.123,2,6,0.82,3,8.45,3.01,12.39,1.74
T5,4,1.03,7,8,0.285,2.5,6,1.65,3.56,22.75,3.67,11.63,0.73
T6,4,0.8,2.8,2.6,0.103,1.6,6,0.42,3,6.45,2.9,10.38,1.98
