rep,var,nlvl,ph_30,ph_45,ph_75,ph_90,TL_30,TL_45,TL_60,TL_75,TL_90
1,1,1,25.2,52.2,72.9,76.3,51,54,67,65,62
1,2,1,23.8,49.7,67.9,67.3,49,51,58,56,49
1,3,1,22.5,49.1,64.7,70.7,46,51,58,52,44
1,4,1,19.7,51,64.9,65.2,36,41,52,50,43
1,1,2,26.7,68.8,76.1,81.4,62,69,72,70,63
1,2,2,24.2,65.9,80.9,84.9,50,56,65,59,48
1,3,2,24.7,65.9,79.1,80.9,55,66,69,53,48
1,4,2,26.5,73.1,84.1,95.5,48,50,61,52,48
1,1,3,25.7,63.4,85.6,95.3,67,70,78,72,68
1,2,3,26.3,70.8,88.4,90.7,55,64,67,60,52
1,3,3,22.3,67.7,81.8,89.5,61,69,71,68,59
1,4,3,27.6,70.5,89.4,95.2,65,71,76,74,68
1,1,4,26.4,69.4,96,98,71,75,82,78,77
1,2,4,24.3,66.6,85.9,92.2,67,69,70,62,58
1,3,4,26.1,68.5,81.6,93.7,67,69,79,74,68
1,4,4,26.8,73.9,85.9,93,54,59,62,62,58
1,1,5,26.9,67.8,86.3,92.6,54,50,76,75,71
1,2,5,26.7,66.7,83.7,84.3,68,78,81,78,78
1,3,5,24.4,65.4,85.8,95.4,62,63,68,62,58
1,4,5,24.2,75.3,88,90.2,54,57,67,60,58
2,1,1,22.3,49.8,73.6,74.7,47,55,56,56,54
2,2,1,22.6,44.2,65.4,66.6,41,48,55,51,47
2,3,1,21.7,48.6,66.5,69.9,47,49,50,44,42
2,4,1,20.9,53.5,64.5,71.3,41,46,49,39,32
2,1,2,25.8,71.3,71.4,86.9,57,73,74,69,59
2,2,2,25.9,72.2,82.8,83.5,47,52,60,56,40
2,3,2,23.4,67.8,78.7,84.4,51,57,61,57,51
2,4,2,26.1,75.3,84.5,92.9,52,59,62,48,40
2,1,3,25.1,72.7,87,97.2,62,72,74,73,59
2,2,3,24.8,68.6,88.3,86.1,54,63,68,65,54
2,3,3,24.6,68.2,86.8,92.3,57,61,63,57,53
2,4,3,26,74.9,81.9,87.8,63,72,79,73,65
2,1,4,25,70.6,83.1,91.5,67,69,78,67,63
2,2,4,27.3,77.5,93.4,87.6,57,70,72,72,61
2,3,4,24.8,68.6,89.3,91.4,69,74,79,70,68
2,4,4,26.5,75.5,87.1,95.6,48,62,68,62,60
2,1,5,25.6,63.4,86.6,90.7,59,62,71,70,67
2,2,5,25.7,72.7,86.1,89.3,62,73,76,70,68
2,3,5,24.7,68.9,87.6,93.5,58,64,65,65,63
2,4,5,25.5,78.2,86.4,91,57,60,66,53,50
3,1,1,22.9,48.4,69.1,70.6,54,56,68,67,56
3,2,1,23.7,49.5,66.3,70.8,54,57,64,61,58
3,3,1,23.2,57.3,68.9,70.5,39,48,52,46,40
3,4,1,24.5,59.3,72.3,70.9,35,45,48,43,40
3,1,2,25.8,67.2,75.4,80.5,59,68,70,64,59
3,2,2,24.6,73.4,78.9,88.5,55,58,64,53,46
3,3,2,24.3,66.5,74.8,86.3,46,51,57,52,46
3,4,2,28.2,78.3,78.3,95,58,60,64,58,56
3,1,3,26.1,66.6,85.6,92,69,76,77,69,66
3,2,3,28.1,77.6,85.4,88.4,61,70,72,64,56
3,3,3,26.1,73.2,84.6,94.1,64,69,70,57,56
3,4,3,28.7,83.5,89.5,90.3,64,73,73,64,62
3,1,4,28,68.2,90.2,95.3,75,78,72,66,65
3,2,4,24.6,67.3,83.2,88.8,65,68,73,70,66
3,3,4,25.1,68.6,88.8,88.9,64,73,71,68,66
3,4,4,23.5,76.5,87.4,85.7,51,58,66,65,63
3,1,5,26,63.6,87.6,92.8,58,71,70,66,66
3,2,5,24.2,69.5,83.9,84.8,71,77,88,81,76
3,3,5,25.6,69.8,82.3,88.2,55,62,75,77,67
3,4,5,25.5,77.9,93.5,90.3,48,57,58,58,56
